property,address,price,duration,number of bedrooms
1 bedroom mini flat (room and parlour) for rent,"  Lekki Phase 1, Lekki, Lagos","6,500,000", per annum,1
1 bedroom mini flat (room and parlour) for rent,"  Oral Community Estate Mojoda, Epe, Lagos","400,000", per annum,1
Self contain (single rooms) for rent,"  Royal Palm Will, Badore, Ajah, Lagos","180,000", per annum,1
4 bedroom flat / apartment for rent,"  Phase1, Lekki, Lagos","20,000,000", per annum,4
4 bedroom terraced duplex for rent,"  Main, Gwarinpa, Abuja","3,000,000", per annum,4
Office space for rent,"  Dominio Pizza, Agungi, Lekki, Lagos","40,000", per square meter / per annum,Office Space
3 bedroom flat / apartment for rent,"  Wuye, Abuja","5,000,000", per annum,3
4 bedroom terraced duplex for rent,"  Jahi, Abuja","6,000,000", per annum,4
2 bedroom flat / apartment for rent,"  Thera Annex Estate, Sangotedo, Ajah, Lagos","1,500,000", per annum,2
2 bedroom flat / apartment for rent,"  Oniru, Victoria Island (VI), Lagos","5,500,000", per annum,2
2 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","6,000,000", per annum,2
3 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","6,000,000", per annum,3
Self contain (single rooms) for rent,"  Greenville Estate, Badore, Ajah, Lagos","450,000", per annum,1
3 bedroom flat / apartment for rent,"  Oniru, Victoria Island (VI), Lagos","7,000,000", per annum,3
4 bedroom semi-detached duplex for rent,"  Lekki Phase 1, Lekki, Lagos","12,000,000", per annum,4
Self contain (single rooms) for rent,"  Greenville Estate, Badore, Ajah, Lagos","400,000", per annum,1
Shop for rent,"  Directly On A Major Busy Road. Office Space/shops For Any Businesses, Ikeja GRA, Ikeja, Lagos","250,000", per square meter / per annum,1
Self contain (single rooms) for rent,"  Royal Pine Estate Orchid, Lekki, Lagos","400,000", per annum,1
5 bedroom semi-detached duplex for rent,"  Off Sesangbon Street, Ikeja GRA, Ikeja, Lagos","20,000,000", per annum,5
8 bedroom detached duplex for rent,"  Banana Island, Ikoyi, Lagos","50,000,000", per annum,8
Self contain (single rooms) for rent,"  Ikota Villa, Behind Mega Chicken, Ikota, Lekki, Lagos","850,000", per annum,1
5 bedroom detached duplex for rent,"  G. Cappa Estate, Maryland, Lagos","16,000,000", per annum,5
1 bedroom mini flat (room and parlour) for rent,"  Oral Community Estate Mojoda, Epe, Lagos","400,000", per annum,1
Self contain (single rooms) for rent,"  Royal Palm Will, Badore, Ajah, Lagos","180,000", per annum,1
